Wavelength,Flux,Noise
1.0104574,4.0856446E-17,1.7356162E-18
1.0106006,3.8051685E-17,1.4951178E-18
1.0107437,3.8802444E-17,1.4931503E-18
1.0108869,3.8770898E-17,1.463352E-18
1.0110301,3.2234785E-17,1.4524567E-18
1.0111732,3.1751937E-17,1.4556707E-18
1.0113164,4.0420363E-17,1.4340251E-18
1.0114596,4.123095E-17,1.4020083E-18
1.0116028,3.974907E-17,1.3544228E-18
1.0117459,3.7436325E-17,1.3888724E-18
1.0118891,3.70445E-17,1.3704799E-18
1.0120323,4.1127443E-17,1.3594077E-18
1.0121754,4.1021812E-17,1.37036E-18
1.0123186,4.0098308E-17,1.3854291E-18
1.0124618,3.8504553E-17,1.3831694E-18
1.012605,4.0024117E-17,1.41719E-18
1.0127481,3.770763E-17,1.4920296E-18
1.0128913,3.624789E-17,1.4636249E-18
1.0130345,3.900957E-17,1.3544102E-18
1.0131775,4.185437E-17,1.3125488E-18
1.0133207,4.227537E-17,1.3003224E-18
1.0134639,4.088547E-17,1.2640051E-18
1.013607,4.0375883E-17,1.2785217E-18
1.0137501,3.7921374E-17,1.2928393E-18
1.0138932,3.8679048E-17,1.2653946E-18
1.0140364,3.990502E-17,1.2946205E-18
1.0141796,3.9323554E-17,1.2895536E-18
1.0143226,3.8905596E-17,1.2727307E-18
1.0144658,3.9948628E-17,1.2780809E-18
1.0146089,3.938707E-17,1.2610812E-18
1.014752,3.8383947E-17,1.2581115E-18
1.0148952,3.781197E-17,1.2359865E-18
1.0150383,3.740103E-17,1.2313554E-18
1.0151814,4.250197E-17,1.210979E-18
1.0153245,4.2697865E-17,1.2020517E-18
1.0154676,4.495284E-17,1.2453071E-18
1.0156107,4.7839845E-17,1.2625633E-18
1.0157539,4.2097246E-17,1.2458048E-18
1.0158969,3.6730637E-17,1.2146488E-18
1.0160401,3.9599174E-17,1.206641E-18
1.0161831,4.3054622E-17,1.2032522E-18
1.0163263,4.24133E-17,1.1989611E-18
1.0164694,4.297038E-17,1.1745749E-18
1.0166124,4.039757E-17,1.163597E-18
1.0167556,4.1054224E-17,1.1615395E-18
1.0168986,3.8289972E-17,1.1621686E-18
1.0170417,3.7446642E-17,1.1565773E-18
1.0171849,3.827931E-17,1.164474E-18
1.0173279,4.1105996E-17,1.1812567E-18
1.017471,4.4980735E-17,1.2485554E-18
1.017614,4.4223282E-17,1.2358253E-18
1.0177572,4.6862406E-17,1.1662895E-18
1.0179002,4.5549716E-17,1.1289633E-18
1.0180433,4.5162043E-17,1.1255404E-18
1.0181863,4.3760998E-17,1.100175E-18
1.0183294,4.1074047E-17,1.1076349E-18
1.0184724,3.9331264E-17,1.1311125E-18
1.0186155,4.1558057E-17,1.1233089E-18
1.0187585,4.352877E-17,1.0998261E-18
1.0189017,4.190382E-17,1.094759E-18
1.0190448,3.8876155E-17,1.1670967E-18
1.0191878,4.2350244E-17,1.1009563E-18
1.0193309,4.499771E-17,1.1558292E-18
1.0194739,4.4315434E-17,1.1205938E-18
1.019617,4.2746438E-17,1.0750738E-18
1.01976,4.1416185E-17,1.0565416E-18
1.019903,4.1550056E-17,1.0536497E-18
1.020046,4.5153487E-17,1.0479138E-18
1.020189,4.421327E-17,1.0440585E-18
1.0203321,4.4829864E-17,1.0466491E-18
1.0204751,4.6599448E-17,1.063912E-18
1.0206182,4.5677903E-17,1.0753769E-18
1.0207613,4.7848454E-17,1.0637154E-18
1.0209042,4.5714097E-17,1.0777533E-18
1.0210472,4.7235596E-17,1.0814143E-18
1.0211903,4.7864108E-17,1.0455014E-18
1.0213333,4.4214207E-17,1.0864489E-18
1.0214763,3.7575606E-17,1.108146E-18
1.0216193,3.971973E-17,1.0383733E-18
1.0217624,4.1655687E-17,9.900114E-19
1.0219053,4.2150404E-17,9.743205E-19
1.0220484,4.2996468E-17,9.877887E-19
1.0221914,4.5357046E-17,1.0030806E-18
1.0223343,4.4952062E-17,9.992696E-19
1.0224774,4.493942E-17,9.952469E-19
1.0226204,4.5724202E-17,9.897497E-19
1.0227634,4.4753796E-17,1.0089488E-18
1.0229064,4.1196013E-17,1.0299702E-18
1.0230494,4.249055E-17,1.0098751E-18
1.0231924,4.312994E-17,9.705736E-19
1.0233353,4.094846E-17,9.683099E-19
1.0234784,4.410543E-17,9.609288E-19
1.0236213,4.7049153E-17,9.60319E-19
1.0237643,4.9016093E-17,9.567254E-19
1.0239073,4.5218907E-17,9.55363E-19
1.0240502,4.4662912E-17,9.572439E-19
1.0241933,4.7068486E-17,9.570052E-19
1.0243362,4.6157843E-17,9.523361E-19
1.0244792,4.6456918E-17,9.365137E-19
1.0246222,4.3557286E-17,9.339242E-19
1.0247651,4.5794787E-17,9.19577E-19
1.0249081,4.7605968E-17,9.071177E-19
1.025051,4.5056174E-17,9.008413E-19
1.025194,4.7712042E-17,8.959229E-19
1.025337,4.7027282E-17,8.970465E-19
1.0254799,4.704412E-17,9.193671E-19
1.0256228,4.528892E-17,9.234657E-19
1.0257658,4.5131944E-17,9.226259E-19
1.0259087,4.4726777E-17,9.246637E-19
1.0260518,4.6752003E-17,9.156213E-19
1.0261947,4.7430295E-17,9.063024E-19
1.0263376,4.6842216E-17,9.019822E-19
1.0264806,4.6962726E-17,8.95497E-19
1.0266235,4.8653374E-17,8.895523E-19
1.0267664,4.9855257E-17,8.806124E-19
1.0269094,4.932241E-17,8.793125E-19
1.0270523,5.0064236E-17,8.882917E-19
1.0271952,4.9406042E-17,8.891746E-19
1.0273381,4.95742E-17,8.971956E-19
1.0274811,4.716475E-17,8.870285E-19
1.027624,4.5970662E-17,8.689026E-19
1.027767,4.8267617E-17,8.5516775E-19
1.0279098,4.756794E-17,8.630659E-19
1.0280527,4.6834324E-17,8.572582E-19
1.0281956,4.735934E-17,8.4679875E-19
1.0283386,4.635565E-17,8.4053736E-19
1.0284815,4.5081214E-17,8.370895E-19
1.0286244,4.723615E-17,8.295587E-19
1.0287672,4.8442496E-17,8.714331E-19
1.0289102,4.6932574E-17,1.0165152E-18
1.0290531,5.0676658E-17,1.0947604E-18
1.0291959,4.823564E-17,9.461247E-19
1.0293388,4.8624734E-17,8.556725E-19
1.0294818,5.0017104E-17,8.397097E-19
1.0296246,5.0084512E-17,8.392434E-19
1.0297675,4.8346146E-17,8.5081663E-19
1.0299104,4.5761034E-17,8.843864E-19
1.0300533,4.7092755E-17,8.818446E-19
1.0301962,4.774865E-17,8.2857855E-19
1.030339,4.9650137E-17,8.067742E-19
1.0304819,4.924733E-17,8.0053516E-19
1.0306247,4.9670426E-17,7.9904794E-19
1.0307677,5.286885E-17,8.037661E-19
1.0309105,5.204384E-17,8.073809E-19
1.0310534,4.8255798E-17,8.1147416E-19
1.0311962,4.976556E-17,8.24029E-19
1.0313392,4.9448215E-17,8.1610735E-19
1.031482,5.3744595E-17,8.037977E-19
1.0316249,5.363911E-17,7.931946E-19
1.0317677,5.0909403E-17,7.835726E-19
1.0319105,4.9815377E-17,7.775671E-19
1.0320535,4.9393992E-17,7.7241526E-19
1.0321963,4.9452252E-17,7.551278E-19
1.0323391,4.8674636E-17,7.541565E-19
1.032482,4.8016187E-17,7.580907E-19
1.0326248,4.8696232E-17,7.728574E-19
1.0327677,4.7305258E-17,7.7111354E-19
1.0329105,5.206675E-17,7.7410064E-19
1.0330533,5.3024057E-17,7.7587494E-19
1.0331962,5.2537695E-17,7.7424995E-19
1.033339,5.271892E-17,7.696899E-19
1.0334818,5.2375326E-17,7.6964384E-19
1.0336246,5.1679604E-17,7.610956E-19
1.0337675,4.897914E-17,7.503975E-19
1.0339103,5.0066774E-17,7.4136476E-19
1.0340531,5.088259E-17,7.39163E-19
1.0341959,4.998986E-17,7.3652855E-19
1.0343387,5.2835493E-17,7.375169E-19
1.0344815,5.4012336E-17,7.436069E-19
1.0346243,5.2832373E-17,7.4455525E-19
1.0347672,5.2053202E-17,7.412464E-19
1.03491,5.2369437E-17,7.5408463E-19
1.0350528,5.284584E-17,7.874658E-19
1.0351956,5.596213E-17,8.818803E-19
1.0353384,5.7960784E-17,8.4026025E-19
1.0354812,5.5347144E-17,7.3869364E-19
1.035624,5.3209766E-17,7.292948E-19
1.0357668,5.4831884E-17,7.291795E-19
1.0359095,5.30774E-17,7.3291097E-19
1.0360523,5.4555827E-17,7.295639E-19
1.0361952,5.5080147E-17,7.2304354E-19
1.036338,5.594308E-17,7.204554E-19
1.0364807,5.696443E-17,7.240842E-19
1.0366235,5.8309066E-17,7.288664E-19
1.0367663,5.780302E-17,7.1600945E-19
1.0369091,5.657129E-17,7.153718E-19
1.0370518,5.639412E-17,7.14969E-19
1.0371946,5.8896246E-17,7.092937E-19
1.0373374,6.0731766E-17,7.062722E-19
1.0374801,5.695272E-17,7.5583525E-19
1.0376229,5.6385216E-17,8.40474E-19
1.0377656,5.4355183E-17,8.236633E-19
1.0379084,5.3421018E-17,7.2380847E-19
1.0380511,5.1856525E-17,6.9395733E-19
1.038194,5.20551E-17,7.0094696E-19
1.0383366,5.3626543E-17,6.918532E-19
1.0384794,5.5247185E-17,6.9780915E-19
1.0386221,5.710913E-17,6.900311E-19
1.038765,5.6493094E-17,6.875296E-19
1.0389076,5.368194E-17,6.9102074E-19
1.0390505,5.4525615E-17,6.865911E-19
1.0391932,5.4178054E-17,6.8919846E-19
1.0393358,5.4309228E-17,6.817762E-19
1.0394787,5.471711E-17,6.733605E-19
1.0396214,5.668384E-17,6.693662E-19
1.039764,5.637579E-17,6.761167E-19
1.0399069,5.888686E-17,7.0967873E-19
1.0400496,5.783872E-17,7.238375E-19
1.0401922,5.5424092E-17,6.958791E-19
1.0403349,5.6421705E-17,6.809895E-19
1.0404778,5.7564796E-17,6.7376704E-19
1.0406204,5.793826E-17,6.7461527E-19
1.0407631,5.81387E-17,6.750056E-19
1.0409058,5.8693295E-17,6.710944E-19
1.0410485,5.5809816E-17,6.602452E-19
1.0411913,5.4514706E-17,6.666301E-19
1.041334,5.760522E-17,6.610173E-19
1.0414767,5.8059966E-17,6.571874E-19
1.0416194,5.794309E-17,6.5380257E-19
1.0417621,5.724985E-17,6.5357164E-19
1.0419048,5.5658767E-17,6.740734E-19
1.0420475,5.5085838E-17,7.3407347E-19
1.0421902,5.57363E-17,8.207337E-19
1.0423329,5.67677E-17,7.9090993E-19
1.0424756,5.734915E-17,6.784181E-19
1.0426183,5.5141924E-17,6.5646005E-19
1.042761,5.3490203E-17,6.553929E-19
1.0429037,5.509344E-17,6.48534E-19
1.0430462,5.2598036E-17,6.452095E-19
1.0431889,5.4649947E-17,6.4603876E-19
1.0433316,5.705089E-17,6.3404206E-19
1.0434743,5.866962E-17,6.3342286E-19
1.043617,5.8662623E-17,6.363866E-19
1.0437597,5.854718E-17,6.3792986E-19
1.0439023,5.9903765E-17,6.4236344E-19
1.044045,5.6986305E-17,6.327437E-19
1.0441877,5.685504E-17,6.296814E-19
1.0443302,5.94857E-17,6.3323493E-19
1.0444729,6.094676E-17,6.3308625E-19
1.0446156,6.045382E-17,6.288882E-19
1.0447582,5.876797E-17,6.314512E-19
1.0449009,6.060521E-17,6.2716193E-19
1.0450436,6.095067E-17,6.2655917E-19
1.0451862,6.0536254E-17,6.313483E-19
1.0453289,5.8679074E-17,6.486231E-19
1.0454714,5.914274E-17,6.5799995E-19
1.0456141,5.96185E-17,6.4094886E-19
1.0457568,6.116441E-17,6.278815E-19
1.0458994,6.25847E-17,6.2716405E-19
1.0460421,6.2013506E-17,6.2353686E-19
1.0461847,6.290149E-17,6.214553E-19
1.0463272,6.1059E-17,6.147944E-19
1.0464699,5.785798E-17,6.155909E-19
1.0466125,5.726836E-17,6.1805167E-19
1.0467552,5.8153126E-17,6.126088E-19
1.0468978,5.8652327E-17,6.0928775E-19
1.0470403,5.596752E-17,6.259639E-19
1.047183,5.1475334E-17,6.869582E-19
1.0473256,5.2770017E-17,6.858061E-19
1.0474682,5.5142318E-17,6.4176694E-19
1.0476109,5.891848E-17,5.9758304E-19
1.0477535,5.990197E-17,5.999514E-19
1.047896,5.9806654E-17,5.996479E-19
1.0480386,5.988658E-17,6.0189415E-19
1.0481813,5.9083155E-17,5.9993383E-19
1.0483239,6.062961E-17,5.981482E-19
1.0484664,6.423178E-17,5.9582683E-19
1.048609,6.3907756E-17,5.9254664E-19
1.0487516,6.271753E-17,5.9240933E-19
1.0488942,6.310624E-17,5.9336617E-19
1.0490367,6.216823E-17,5.9413375E-19
1.0491793,6.1757324E-17,5.9150383E-19
1.049322,6.0941115E-17,5.833863E-19
1.0494646,6.228926E-17,5.8027485E-19
1.0496072,6.257646E-17,5.811526E-19
1.0497497,6.3076333E-17,5.87555E-19
1.0498923,6.220342E-17,5.8818585E-19
1.0500348,6.145085E-17,5.886666E-19
1.0501773,6.322829E-17,5.8795957E-19
1.0503199,6.4458784E-17,5.88178E-19
1.0504625,6.296673E-17,5.875264E-19
1.050605,6.3073786E-17,5.8278167E-19
1.0507476,6.355793E-17,5.845478E-19
1.0508902,6.3864345E-17,5.841217E-19
1.0510328,6.210863E-17,5.7411727E-19
1.0511752,5.762263E-17,5.8872336E-19
1.0513178,5.662763E-17,5.951479E-19
1.0514604,5.635824E-17,5.9244733E-19
1.051603,5.8763255E-17,5.772219E-19
1.0517455,5.783896E-17,5.7507607E-19
1.051888,5.788437E-17,5.7852903E-19
1.0520306,5.8502316E-17,5.790889E-19
1.0521731,6.046804E-17,5.7138876E-19
1.0523156,6.3258796E-17,5.6921876E-19
1.0524582,6.6000794E-17,5.7009076E-19
1.0526007,6.731833E-17,5.78171E-19
1.0527432,6.659699E-17,6.0868706E-19
1.0528858,7.001558E-17,6.1721643E-19
1.0530282,7.0730844E-17,5.9416337E-19
1.0531708,6.438921E-17,5.678304E-19
1.0533133,6.1119264E-17,5.5613984E-19
1.0534558,6.00798E-17,5.5251477E-19
1.0535983,6.113247E-17,5.553256E-19
1.0537409,6.199554E-17,5.564651E-19
1.0538833,6.2874184E-17,5.5995335E-19
1.0540259,6.406688E-17,5.5752444E-19
1.0541683,6.5566405E-17,5.5826295E-19
1.0543109,6.52119E-17,5.5646854E-19
1.0544534,6.490736E-17,5.571301E-19
1.0545958,6.4237404E-17,5.580954E-19
1.0547384,6.2218554E-17,5.55466E-19
1.0548809,6.206467E-17,5.4983915E-19
1.0550233,6.344949E-17,5.466765E-19
1.0551659,6.47884E-17,5.464098E-19
1.0553083,6.3768684E-17,5.4565005E-19
1.0554508,6.331198E-17,5.4603733E-19
1.0555933,6.233872E-17,5.4966674E-19
1.0557357,6.1524926E-17,5.50104E-19
1.0558783,6.197066E-17,5.6002537E-19
1.0560207,6.4632545E-17,5.6092177E-19
1.0561632,6.3284703E-17,5.4673795E-19
1.0563056,6.374014E-17,5.4953604E-19
1.0564481,6.473612E-17,5.5245434E-19
1.0565906,6.277747E-17,5.4688684E-19
1.056733,6.4549E-17,5.4402774E-19
1.0568755,6.707459E-17,5.415152E-19
1.0570179,6.6576624E-17,5.362271E-19
1.0571605,6.5873455E-17,5.3426774E-19
1.057303,6.4140974E-17,5.327775E-19
1.0574454,6.3872425E-17,5.308976E-19
1.0575877,6.363667E-17,5.3919567E-19
1.0577302,6.413844E-17,5.390502E-19
1.0578727,6.4221985E-17,5.337702E-19
1.0580151,6.455458E-17,5.288704E-19
1.0581576,6.516102E-17,5.2932704E-19
1.0583,6.5176366E-17,5.368365E-19
1.0584425,6.558471E-17,5.3420125E-19
1.0585849,6.648251E-17,5.3401896E-19
1.0587274,6.577545E-17,5.3874883E-19
1.0588697,6.556264E-17,5.435551E-19
1.0590122,6.477404E-17,5.528615E-19
1.0591546,6.551052E-17,5.3788815E-19
1.0592971,6.663706E-17,5.317069E-19
1.0594394,6.4118005E-17,5.285858E-19
1.0595819,6.2967404E-17,5.2475164E-19
1.0597243,6.277636E-17,5.213868E-19
1.0598667,6.350603E-17,5.2578024E-19
1.0600091,6.378929E-17,5.285306E-19
1.0601516,6.3576036E-17,5.2467E-19
1.0602939,6.377066E-17,5.2629765E-19
1.0604364,6.5045745E-17,5.2772877E-19
1.0605787,6.3895864E-17,5.56866E-19
1.0607212,6.437833E-17,5.212119E-19
1.0608636,6.7389663E-17,5.221689E-19
1.061006,6.837765E-17,5.188914E-19
1.0611484,6.5122355E-17,5.214668E-19
1.0612907,6.469904E-17,5.1787255E-19
1.0614331,6.5880284E-17,5.137146E-19
1.0615755,6.544791E-17,5.1143466E-19
1.0617179,6.470973E-17,5.1173244E-19
1.0618603,6.520071E-17,5.083468E-19
1.0620027,6.4683446E-17,5.08687E-19
1.062145,6.456594E-17,5.0822546E-19
1.0622874,6.4498065E-17,5.109103E-19
1.0624298,6.586862E-17,5.112854E-19
1.0625721,6.699576E-17,5.111058E-19
1.0627146,6.888504E-17,5.08902E-19
1.0628569,6.880092E-17,5.134997E-19
1.0629992,6.906077E-17,5.113896E-19
1.0631417,7.274473E-17,5.2010775E-19
1.063284,7.272597E-17,5.238006E-19
1.0634264,6.964981E-17,5.1428874E-19
1.0635687,6.9485024E-17,5.121158E-19
1.063711,6.889206E-17,5.073082E-19
1.0638534,6.953403E-17,5.05927E-19
1.0639958,6.9320045E-17,5.07207E-19
1.0641382,6.8199096E-17,5.0748466E-19
1.0642805,6.8047815E-17,5.0214495E-19
1.0644228,6.860281E-17,5.054131E-19
1.0645652,6.770751E-17,5.135367E-19
1.0647075,6.6235263E-17,5.0915986E-19
1.0648499,6.530885E-17,5.037808E-19
1.0649922,6.659391E-17,4.974171E-19
1.0651345,6.731274E-17,5.0166126E-19
1.0652769,6.8004126E-17,5.066192E-19
1.0654192,6.999577E-17,5.113134E-19
1.0655615,6.942893E-17,5.110411E-19
1.0657039,6.9000277E-17,5.0644634E-19
1.0658461,6.8694716E-17,4.9795554E-19
1.0659884,6.708366E-17,4.946916E-19
1.0661308,6.636031E-17,4.9585414E-19
1.0662731,6.744379E-17,4.9634885E-19
1.0664154,6.841496E-17,4.928419E-19
1.0665578,6.674464E-17,4.9215277E-19
1.0667,6.649537E-17,4.9246063E-19
1.0668423,6.37465E-17,4.935462E-19
1.0669847,6.535847E-17,4.998493E-19
1.067127,6.7828486E-17,4.961107E-19
1.0672692,6.744783E-17,4.958445E-19
1.0674115,6.671449E-17,4.9654055E-19
1.0675539,6.7804246E-17,4.942525E-19
1.0676961,6.7672447E-17,4.9012235E-19
1.0678384,6.8686616E-17,4.907081E-19
1.0679806,6.875812E-17,4.9420474E-19
1.068123,7.005862E-17,4.9568824E-19
1.0682653,6.954835E-17,4.951667E-19
1.0684075,6.8933196E-17,4.9388116E-19
1.0685499,7.1455766E-17,5.1196385E-19
1.0686921,7.2309595E-17,5.165495E-19
1.0688344,7.197482E-17,5.0470756E-19
1.0689766,7.072884E-17,5.078268E-19
1.069119,6.85408E-17,5.0856186E-19
1.0692612,6.775777E-17,5.073883E-19
1.0694034,6.786452E-17,5.027095E-19
1.0695457,7.028489E-17,5.049838E-19
1.069688,7.0239486E-17,5.020952E-19
1.0698303,6.917195E-17,4.9641533E-19
1.0699725,6.814902E-17,4.976096E-19
1.0701147,6.8715674E-17,4.994584E-19
1.070257,7.0309776E-17,5.0138824E-19
1.0703993,6.976223E-17,4.9814817E-19
1.0705415,6.936279E-17,5.107914E-19
1.0706837,6.819536E-17,5.4621796E-19
1.070826,6.7167364E-17,4.8935183E-19
1.0709683,6.731694E-17,4.7948837E-19
1.0711105,6.8637085E-17,4.881402E-19
1.0712527,6.977421E-17,5.0750053E-19
1.0713949,7.037107E-17,5.275731E-19
1.0715371,6.8873705E-17,5.194873E-19
1.0716794,6.868523E-17,5.009537E-19
1.0718217,7.036369E-17,4.8860907E-19
1.0719639,7.1464196E-17,4.916784E-19
1.0721061,7.0362524E-17,4.874502E-19
1.0722483,6.852638E-17,4.8431523E-19
1.0723906,6.9168075E-17,4.982098E-19
1.0725328,7.172891E-17,4.9840253E-19
1.072675,7.033286E-17,4.8085524E-19
1.0728172,7.199023E-17,5.1270624E-19
1.0729594,7.0097356E-17,4.810253E-19
1.0731016,6.971124E-17,5.197439E-19
1.0732439,7.4152315E-17,5.625602E-19
1.073386,7.6095415E-17,5.3099345E-19
1.0735282,7.274063E-17,4.858779E-19
1.0736704,7.2223025E-17,4.751512E-19
1.0738126,7.307924E-17,4.7526376E-19
1.0739548,7.2954676E-17,4.7747284E-19
1.074097,7.270592E-17,4.7663703E-19
1.0742391,7.308834E-17,4.728997E-19
1.0743814,7.14072E-17,4.7456096E-19
1.0745236,7.05178E-17,4.87195E-19
1.0746658,7.020863E-17,5.031666E-19
1.0748079,7.2452895E-17,5.0544613E-19
1.0749501,7.320153E-17,4.8112945E-19
1.0750923,6.971854E-17,4.6525497E-19
1.0752344,6.7694906E-17,4.8490155E-19
1.0753766,6.7706474E-17,5.312411E-19
1.0755188,7.202973E-17,5.6195616E-19
1.075661,7.498117E-17,5.1569924E-19
1.0758032,6.952483E-17,5.0290384E-19
1.0759453,7.19457E-17,4.602678E-19
1.0760875,7.2087725E-17,4.6217124E-19
1.0762296,7.004006E-17,4.6260386E-19
1.0763718,7.002656E-17,4.6434006E-19
1.0765139,7.280036E-17,4.706962E-19
1.0766561,7.3403405E-17,4.692104E-19
1.0767982,7.114718E-17,4.6833524E-19
1.0769404,7.1986663E-17,4.644832E-19
1.0770825,7.304089E-17,4.710083E-19
1.0772247,7.2142756E-17,4.6887694E-19
1.0773668,7.012854E-17,4.7210687E-19
1.0775089,7.109135E-17,5.079363E-19
1.0776511,7.131764E-17,4.8512396E-19
